lat_bin,lon_bin,observed_incidents
41.79,-87.645,5287
41.91,-87.695,5285
42.015,-87.68,5275
41.91,-87.635,5260
41.785,-87.685,5259
41.73,-87.55,5250
41.84,-87.625,5247
41.885,-87.73,5247
41.845,-87.705,5223
41.795,-87.67,5220
41.895,-87.77,5212
41.79,-87.65,5197
41.92,-87.69,5189
41.845,-87.71,5180
41.775,-87.585,5176
41.75,-87.55,5172
41.985,-87.66,5168
41.91,-87.735,5158
41.69,-87.625,5149
41.89,-87.72,5135
41.735,-87.625,5134
41.86,-87.705,5126
41.78,-87.675,5114
41.995,-87.66,5105
41.92,-87.695,5092
41.865,-87.64,5087
41.91,-87.73,5075
41.765,-87.625,5063
41.78,-87.705,5062
41.87,-87.72,5043
41.76,-87.615,5040
41.87,-87.725,5025
41.76,-87.575,5018
41.87,-87.695,5017
41.875,-87.76,5014
41.9,-87.76,5005
41.815,-87.62,5002
41.755,-87.58,4992
41.75,-87.635,4983
41.805,-87.665,4954
42.005,-87.66,4944
41.79,-87.665,4941
41.875,-87.705,4934
41.91,-87.75,4929
41.845,-87.725,4924
41.9,-87.765,4923
41.81,-87.645,4912
41.78,-87.66,4902
41.735,-87.56,4889
41.94,-87.725,4876
41.805,-87.625,4864
41.875,-87.685,4845
41.875,-87.73,4844
41.885,-87.65,4829
41.745,-87.655,4812
41.87,-87.685,4809
41.745,-87.55,4808
42.0,-87.67,4805
42.015,-87.67,4784
41.845,-87.625,4778
41.74,-87.555,4769
41.795,-87.65,4765
41.8,-87.675,4762
41.75,-87.615,4759
41.85,-87.695,4751
41.765,-87.62,4746
41.81,-87.67,4746
41.935,-87.65,4739
41.815,-87.605,4735
41.765,-87.61,4716
41.76,-87.605,4709
41.765,-87.635,4704
41.775,-87.65,4704
41.78,-87.65,4672
41.655,-87.605,4666
41.965,-87.65,4659
41.9,-87.635,4655
41.745,-87.56,4646
41.89,-87.62,4641
41.87,-87.745,4621
41.765,-87.69,4594
41.83,-87.61,4593
41.745,-87.645,4592
41.685,-87.63,4586
41.77,-87.635,4571
41.82,-87.62,4570
41.925,-87.65,4570
41.915,-87.7,4546
41.915,-87.715,4516
41.81,-87.675,4495
41.91,-87.715,4490
41.915,-87.71,4483
41.9,-87.685,4480
41.885,-87.735,4468
41.805,-87.66,4467
41.97,-87.71,4461
41.735,-87.605,4460
41.75,-87.67,4452
41.855,-87.715,4451
41.955,-87.745,4448
41.745,-87.66,4443
41.76,-87.645,4443
41.93,-87.685,4441
41.755,-87.585,4440
41.885,-87.77,4431
41.77,-87.675,4422
41.815,-87.63,4418
41.94,-87.645,4403
41.875,-87.715,4399
41.955,-87.65,4386
41.78,-87.6,4372
41.8,-87.655,4372
41.765,-87.64,4368
41.905,-87.735,4356
41.85,-87.715,4350
41.75,-87.57,4347
41.925,-87.725,4344
41.8,-87.725,4342
41.89,-87.76,4340
41.78,-87.585,4332
41.79,-87.74,4323
41.8,-87.605,4298
42.01,-87.67,4295
41.68,-87.63,4294
41.735,-87.655,4286
41.795,-87.625,4286
41.905,-87.76,4280
41.745,-87.65,4259
41.91,-87.77,4249
41.675,-87.635,4237
41.985,-87.655,4236
41.89,-87.745,4235
41.86,-87.66,4231
41.98,-87.66,4227
41.735,-87.585,4222
41.81,-87.745,4216
41.855,-87.72,4210
41.795,-87.705,4207
41.92,-87.715,4206
41.765,-87.675,4205
41.875,-87.72,4192
41.935,-87.72,4177
41.905,-87.675,4165
41.955,-87.655,4165
41.685,-87.64,4163
41.73,-87.66,4161
41.815,-87.625,4161
41.9,-87.7,4160
41.775,-87.7,4157
41.735,-87.66,4139
41.87,-87.715,4129
41.935,-87.715,4118
41.7,-87.625,4113
41.785,-87.66,4110
41.895,-87.665,4110
41.8,-87.705,4103
42.01,-87.675,4101
41.85,-87.7,4099
41.79,-87.625,4096
41.775,-87.635,4092
41.745,-87.555,4090
41.76,-87.635,4072
41.905,-87.635,4072
41.755,-87.605,4071
41.925,-87.64,4060
41.79,-87.67,4057
41.915,-87.72,4057
41.77,-87.69,4055
41.96,-87.715,4054
41.775,-87.575,4045
41.9,-87.77,4034
41.925,-87.705,4033
41.905,-87.68,4027
41.685,-87.625,4025
41.915,-87.73,4024
41.935,-87.68,4024
41.895,-87.66,4017
41.73,-87.605,4014
41.755,-87.665,4006
42.015,-87.665,4006
41.885,-87.7,4005
41.78,-87.635,4000
41.695,-87.63,3999
41.995,-87.69,3981
41.775,-87.66,3980
41.81,-87.69,3979
41.925,-87.645,3976
41.905,-87.765,3975
41.785,-87.625,3968
41.785,-87.7,3965
41.75,-87.575,3964
41.76,-87.63,3964
41.875,-87.69,3962
41.93,-87.645,3954
41.805,-87.67,3950
41.885,-87.68,3948
41.965,-87.715,3947
41.915,-87.705,3943
41.94,-87.745,3943
41.765,-87.66,3937
41.69,-87.63,3935
41.91,-87.655,3923
41.73,-87.665,3917
41.86,-87.625,3910
41.915,-87.685,3907
41.77,-87.63,3901
41.76,-87.655,3895
41.79,-87.69,3895
41.81,-87.6,3895
41.8,-87.66,3888
41.72,-87.63,3875
41.73,-87.555,3875
41.76,-87.665,3873
41.885,-87.715,3872
41.69,-87.665,3871
41.7,-87.62,3867
41.87,-87.705,3866
41.9,-87.745,3861
41.905,-87.755,3858
41.67,-87.64,3856
41.855,-87.68,3850
41.93,-87.745,3845
41.805,-87.615,3830
41.825,-87.625,3830
41.9,-87.735,3823
41.775,-87.68,3819
41.925,-87.655,3811
41.99,-87.655,3810
41.8,-87.645,3804
41.855,-87.66,3804
41.735,-87.65,3802
41.925,-87.735,3799
41.685,-87.62,3794
41.79,-87.685,3792
41.97,-87.715,3778
41.7,-87.63,3775
41.76,-87.58,3774
41.775,-87.59,3774
41.77,-87.615,3772
41.845,-87.715,3767
41.675,-87.62,3760
41.735,-87.645,3750
41.855,-87.705,3743
41.875,-87.74,3733
41.855,-87.695,3732
41.925,-87.715,3730
41.78,-87.64,3720
41.735,-87.575,3719
41.785,-87.67,3718
41.785,-87.705,3712
41.855,-87.63,3707
41.95,-87.645,3707
41.81,-87.625,3706
42.02,-87.665,3706
41.71,-87.62,3703
41.87,-87.71,3696
41.92,-87.65,3694
41.74,-87.645,3686
41.885,-87.675,3686
41.965,-87.665,3679
41.8,-87.595,3678
41.805,-87.61,3678
41.79,-87.675,3672
41.875,-87.675,3672
41.85,-87.685,3670
41.655,-87.6,3668
41.855,-87.665,3668
41.965,-87.72,3668
42.0,-87.69,3652
41.705,-87.605,3651
41.785,-87.695,3651
41.89,-87.71,3650
41.765,-87.67,3646
41.945,-87.645,3641
41.775,-87.6,3637
41.84,-87.63,3637
41.835,-87.65,3630
41.89,-87.725,3629
41.905,-87.685,3629
41.765,-87.57,3626
41.915,-87.725,3620
41.925,-87.7,3618
41.94,-87.755,3618
41.865,-87.695,3611
41.85,-87.69,3604
41.86,-87.735,3603
42.005,-87.665,3603
41.775,-87.705,3596
41.82,-87.695,3596
41.765,-87.59,3593
41.675,-87.625,3591
41.755,-87.6,3583
41.92,-87.745,3581
41.81,-87.595,3572
41.84,-87.71,3561
41.92,-87.72,3560
41.86,-87.73,3557
41.74,-87.665,3556
41.825,-87.61,3553
41.845,-87.695,3553
41.675,-87.64,3543
41.755,-87.55,3543
41.895,-87.705,3535
41.76,-87.57,3528
41.71,-87.625,3503
41.935,-87.725,3503
41.735,-87.665,3502
41.925,-87.745,3496
41.89,-87.77,3488
41.91,-87.685,3485
41.93,-87.68,3481
41.925,-87.72,3477
41.895,-87.68,3472
41.75,-87.595,3466
41.81,-87.685,3465
41.75,-87.58,3462
41.91,-87.72,3456
41.925,-87.755,3446
41.93,-87.65,3437
41.795,-87.655,3434
41.845,-87.72,3434
41.96,-87.65,3429
41.865,-87.7,3422
41.915,-87.695,3407
41.76,-87.555,3406
41.93,-87.72,3405
41.685,-87.635,3403
41.94,-87.67,3401
41.76,-87.685,3396
41.93,-87.755,3395
41.81,-87.61,3388
41.925,-87.765,3388
41.9,-87.69,3387
41.9,-87.675,3385
41.8,-87.615,3384
41.765,-87.56,3373
41.92,-87.655,3373
41.815,-87.615,3371
41.725,-87.625,3370
41.795,-87.585,3363
41.87,-87.63,3360
41.865,-87.655,3358
41.93,-87.735,3339
41.77,-87.61,3336
41.995,-87.7,3333
41.76,-87.65,3327
41.93,-87.64,3318
41.68,-87.635,3316
41.815,-87.69,3314
41.875,-87.645,3309
41.72,-87.575,3307
41.93,-87.725,3306
41.925,-87.76,3297
41.765,-87.595,3291
41.815,-87.61,3288
41.92,-87.685,3288
41.755,-87.575,3282
41.915,-87.69,3277
41.79,-87.635,3275
41.76,-87.625,3274
41.965,-87.71,3274
41.94,-87.72,3272
42.0,-87.7,3270
41.91,-87.705,3267
41.94,-87.715,3263
41.76,-87.62,3257
41.93,-87.765,3253
41.935,-87.655,3250
41.8,-87.585,3248
41.8,-87.65,3247
41.85,-87.72,3244
41.9,-87.67,3234
42.015,-87.675,3229
41.78,-87.645,3228
41.69,-87.64,3222
41.885,-87.665,3221
41.79,-87.615,3220
41.945,-87.735,3216
41.68,-87.64,3202
41.84,-87.725,3189
41.755,-87.67,3186
41.915,-87.635,3186
41.96,-87.71,3186
41.925,-87.695,3184
41.955,-87.75,3179
41.905,-87.75,3169
41.92,-87.73,3167
41.72,-87.62,3161
41.88,-87.65,3158
41.705,-87.65,3150
41.81,-87.7,3147
41.97,-87.705,3147
41.75,-87.675,3142
41.775,-87.595,3136
41.955,-87.715,3134
41.84,-87.645,3133
41.955,-87.73,3132
41.85,-87.675,3128
41.935,-87.64,3122
41.845,-87.63,3119
41.855,-87.67,3118
41.795,-87.725,3116
41.94,-87.765,3116
42.005,-87.675,3111
41.85,-87.68,3110
41.975,-87.69,3110
41.97,-87.765,3107
41.835,-87.615,3103
41.9,-87.775,3095
41.82,-87.615,3090
41.845,-87.73,3089
41.925,-87.71,3085
41.89,-87.645,3083
41.89,-87.705,3075
41.78,-87.595,3072
41.835,-87.665,3071
41.885,-87.645,3068
41.85,-87.73,3067
41.94,-87.73,3067
41.755,-87.64,3065
41.795,-87.59,3065
41.835,-87.645,3065
41.86,-87.655,3052
41.685,-87.615,3041
41.97,-87.725,3041
41.75,-87.59,3038
41.8,-87.745,3038
41.75,-87.685,3035
41.81,-87.705,3035
42.0,-87.695,3031
42.0,-87.665,3030
41.75,-87.63,3027
42.0,-87.685,3021
41.73,-87.545,3018
41.85,-87.725,3017
41.805,-87.675,3016
41.895,-87.7,3016
41.885,-87.695,3009
41.735,-87.64,3007
41.92,-87.68,3007
41.815,-87.695,3005
41.855,-87.73,3002
42.0,-87.66,2994
41.67,-87.635,2990
41.845,-87.62,2990
41.82,-87.625,2985
41.655,-87.615,2982
41.92,-87.71,2979
41.895,-87.67,2971
41.705,-87.645,2965
41.75,-87.72,2964
41.74,-87.65,2958
41.745,-87.585,2958
41.895,-87.675,2958
41.96,-87.73,2958
41.745,-87.635,2951
41.745,-87.615,2951
41.815,-87.745,2949
41.815,-87.6,2944
41.805,-87.745,2942
41.94,-87.64,2942
41.705,-87.655,2932
41.73,-87.655,2926
41.805,-87.59,2925
41.92,-87.735,2914
41.925,-87.775,2911
41.97,-87.72,2911
41.77,-87.64,2905
41.87,-87.665,2900
41.805,-87.655,2896
41.925,-87.665,2895
41.78,-87.71,2894
41.925,-87.785,2893
41.86,-87.665,2892
41.77,-87.68,2890
41.895,-87.655,2881
41.785,-87.64,2875
41.875,-87.64,2874
41.815,-87.705,2872
41.885,-87.685,2872
41.745,-87.595,2867
41.655,-87.595,2862
41.935,-87.71,2862
41.83,-87.67,2854
41.905,-87.715,2851
41.855,-87.735,2847
41.795,-87.695,2844
41.75,-87.64,2841
41.815,-87.7,2841
41.915,-87.68,2835
41.705,-87.535,2831
41.83,-87.675,2830
41.92,-87.645,2826
41.92,-87.76,2822
41.925,-87.67,2819
41.8,-87.685,2818
41.895,-87.685,2806
41.87,-87.66,2805
41.925,-87.75,2802
41.855,-87.635,2801
41.93,-87.705,2801
41.82,-87.7,2799
41.92,-87.64,2798
41.805,-87.725,2793
41.87,-87.64,2782
41.8,-87.69,2777
42.0,-87.68,2777
41.75,-87.585,2773
41.825,-87.635,2771
41.88,-87.67,2771
41.925,-87.69,2771
41.84,-87.715,2770
41.8,-87.625,2766
41.72,-87.645,2760
41.705,-87.615,2755
41.885,-87.62,2746
41.98,-87.695,2738
41.755,-87.66,2737
41.725,-87.63,2735
41.725,-87.605,2727
41.815,-87.67,2722
41.935,-87.705,2720
41.805,-87.72,2717
41.93,-87.715,2715
41.86,-87.67,2708
41.98,-87.655,2708
41.795,-87.7,2700
41.92,-87.705,2699
41.765,-87.72,2697
41.745,-87.545,2695
41.83,-87.68,2695
41.75,-87.62,2691
41.905,-87.775,2690
41.855,-87.675,2685
41.8,-87.6,2684
41.87,-87.68,2682
41.955,-87.67,2682
41.94,-87.71,2681
41.82,-87.605,2671
41.93,-87.655,2670
41.97,-87.69,2667
